iter	Passed	Remaining
686	14486	6600
687	14507	6579
688	14531	6559
689	14553	6538
690	14574	6517
691	14594	6495
692	14613	6473
693	14631	6451
694	14650	6429
695	14677	6410
696	14700	6390
697	14718	6368
698	14738	6346
699	14757	6324
700	14776	6302
701	14797	6281
702	14817	6260
703	14837	6238
704	14866	6220
705	14901	6205
706	14927	6186
707	14947	6164
708	14967	6143
709	14985	6120
710	15004	6098
711	15023	6076
712	15042	6054
713	15072	6037
714	15095	6017
715	15116	5996
716	15139	5975
717	15158	5953
718	15179	5932
719	15200	5911
720	15222	5890
721	15240	5868
722	15259	5846
723	15289	5828
724	15310	5807
725	15329	5785
726	15348	5763
727	15366	5741
728	15385	5719
729	15404	5697
730	15423	5675
731	15440	5653
732	15459	5631
733	15478	5609
734	15507	5591
735	15528	5570
736	15548	5548
737	15568	5527
738	15590	5506
739	15610	5484
740	15629	5462
741	15647	5440
742	15666	5419
743	15680	5395
744	15698	5373
745	15723	5353
746	15746	5333
747	15767	5311
748	15786	5290
749	15804	5268
750	15823	5246
751	15847	5226
752	15866	5204
753	15884	5182
754	15908	5162
755	15940	5144
756	15969	5126
757	15990	5105
758	16010	5083
759	16030	5062
760	16050	5040
761	16071	5019
762	16091	4998
763	16111	4976
764	16133	4955
765	16158	4936
766	16182	4915
767	16203	4894
768	16222	4873
769	16240	4850
770	16258	4829
771	16277	4807
772	16296	4785
773	16313	4763
774	16332	4741
775	16359	4722
776	16387	4703
777	16411	4682
778	16430	4661
779	16449	4639
780	16468	4618
781	16487	4596
782	16505	4574
783	16523	4552
784	16543	4530
785	16566	4510
786	16591	4490
787	16612	4469
788	16631	4447
789	16650	4426
790	16669	4404
791	16687	4382
792	16706	4360
793	16725	4339
794	16744	4317
795	16766	4296
796	16803	4279
797	16830	4260
798	16856	4240
799	16910	4227
800	16970	4216
801	17052	4209
802	17149	4207
803	17273	4211
804	17334	4199
805	17431	4195
806	17514	4188
807	17564	4173
808	17631	4162
809	17721	4156
810	17780	4143
811	17865	4136
812	17984	4136
813	18037	4121
814	18061	4099
815	18135	4089
816	18211	4079
817	18329	4078
818	18421	4071
819	18500	4061
820	18553	4045
821	18658	4040
822	18735	4029
823	18801	4015
824	18907	4010
825	18997	4001
826	19073	3989
827	19103	3968
828	19140	3948
829	19223	3937
830	19350	3935
831	19396	3916
832	19458	3900
833	19561	3893
834	19631	3879
835	19734	3871
836	19825	3860
837	19924	3851
838	20022	3842
839	20091	3826
840	20162	3811
841	20229	3795
842	20281	3777
843	20422	3774
844	20486	3757
845	20544	3739
846	20623	3725
847	20699	3710
848	20783	3696
849	20853	3680
850	20928	3664
851	20961	3641
852	20985	3616
853	21010	3591
854	21033	3567
855	21060	3542
856	21093	3519
857	21113	3494
858	21133	3468
859	21152	3443
860	21170	3417
861	21189	3392
862	21207	3366
863	21225	3341
864	21245	3315
865	21273	3291
866	21301	3267
867	21321	3242
868	21341	3217
869	21361	3192
870	21381	3166
871	21400	3141
872	21419	3116
873	21439	3090
874	21457	3065
875	21490	3042
876	21519	3018
877	21539	2992
878	21559	2967
879	21578	2942
880	21597	2917
881	21615	2891
882	21633	2866
883	21652	2841
884	21670	2815
885	21693	2791
886	21739	2769
887	21767	2745
888	21792	2720
889	21814	2696
890	21835	2671
891	21855	2646
892	21878	2621
893	21903	2597
894	21934	2573
895	21965	2549
896	21986	2524
897	22006	2499
898	22027	2474
899	22046	2449
900	22065	2424
901	22083	2399
902	22112	2375
903	22138	2350
904	22158	2326
905	22178	2301
906	22197	2276
907	22218	2251
908	22238	2226
909	22260	2201
910	22280	2176
911	22300	2151
912	22328	2127
913	22350	2102
914	22369	2078
915	22389	2053
916	22408	2028
917	22431	2003
918	22449	1978
919	22467	1953
920	22486	1928
921	22506	1903
922	22524	1879
923	22550	1854
924	22572	1830
925	22593	1805
926	22613	1780
927	22631	1755
928	22652	1731
929	22672	1706
930	22693	1681
931	22714	1657
932	22751	1633
933	22781	1609
934	22802	1585
935	22823	1560
936	22842	1535
937	22861	1511
938	22879	1486
939	22898	1461
940	22918	1436
941	22938	1412
942	22967	1388
943	22991	1363
944	23012	1339
945	23031	1314
946	23050	1290
947	23073	1265
948	23093	1241
949	23112	1216
950	23138	1192
951	23158	1167
952	23188	1143
953	23210	1119
954	23231	1094
955	23250	1070
956	23270	1045
957	23289	1021
958	23308	996
959	23326	971
960	23345	947
961	23363	922
962	23381	898
963	23411	874
964	23432	849
965	23456	825
966	23477	801
967	23497	776
968	23517	752
969	23534	727
970	23553	703
971	23572	679
972	23590	654
973	23616	630
974	23637	606
975	23659	581
976	23680	557
977	23699	533
978	23723	508
979	23741	484
980	23760	460
981	23779	435
982	23798	411
983	23823	387
984	23852	363
985	23873	338
986	23893	314
987	23918	290
988	23943	266
989	23964	242
990	23984	217
991	24003	193
992	24022	169
993	24049	145
994	24071	120
995	24092	96
996	24112	72
997	24133	48
998	24151	24
999	24169	0
